months_as_customer,age,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,_c39,claim_to_premium_ratio,policy_csl_limit
101,33,2,1000,1053.04,7000000,0,5,7,15,3,52000,-44500,0,1,1,0,0,4,20,3,0,1,3,0,54240,9040,9040,36160,10,2,2013,1,,51.45914766043035,100
375,50,2,1000,1275.39,0,1,0,11,3,2,0,0,2,0,0,3,1,5,16,1,1,2,3,0,37280,0,0,37280,1,5,1996,1,,29.207373921763722,100
461,61,2,2000,1402.75,0,1,3,3,8,0,0,0,0,1,1,3,1,1,10,3,0,2,1,1,72100,7210,14420,50470,7,36,2006,0,,51.36242208370437,100
428,59,1,500,1344.36,7000000,0,3,9,10,2,0,0,1,1,1,4,6,3,8,1,0,2,3,0,6500,1300,650,4550,10,1,2013,0,,4.831420586311471,250
45,38,1,1000,1197.71,0,1,5,6,12,1,29000,0,0,0,2,0,6,6,17,3,0,2,0,0,78240,13040,13040,52160,11,21,2013,0,,65.27016542783493,100
136,29,2,500,1203.24,0,0,3,13,18,2,62500,-66900,3,1,1,3,1,1,9,1,0,2,0,0,6200,1240,620,4340,6,6,1999,0,,5.148475386966053,100
216,36,1,1000,1152.4,0,0,0,8,15,4,39600,-82400,1,1,1,3,5,6,0,1,1,2,3,0,6160,560,1680,3920,8,12,2014,0,,5.340731749609849,500
278,48,1,2000,1142.62,7000000,0,4,4,7,1,0,-54000,2,0,2,0,4,4,12,1,0,2,0,0,76050,11700,11700,52650,3,32,1997,0,,66.49936167608122,500
295,48,2,1000,1332.07,0,0,4,3,14,4,49700,-59100,0,2,2,0,1,2,20,2,0,2,1,1,86060,13240,13240,59580,13,28,2002,0,,64.55775015565574,500
112,30,2,1000,1166.54,0,0,5,9,17,1,47700,-59300,2,0,0,1,4,0,3,1,1,2,0,0,107900,10790,21580,75530,4,27,1997,1,,92.41653390890248,500
122,34,0,500,1495.06,0,0,5,9,14,4,38100,-31400,0,1,2,1,3,1,18,3,0,2,0,1,99990,18180,18180,63630,8,12,2011,0,,66.83555472374103,250
108,29,1,1000,1337.92,0,0,6,1,3,1,71400,0,0,2,1,0,6,1,4,3,0,2,2,1,61380,11160,5580,44640,11,21,2012,0,,45.84291817285573,500
14,28,2,2000,1587.96,0,0,0,2,2,4,0,-26900,2,1,0,1,6,5,18,1,0,2,1,1,71280,12960,12960,45360,1,5,2012,1,,44.85953076225959,250
298,45,0,1000,1362.29,0,1,2,4,19,4,0,-51100,0,0,1,0,1,3,18,3,0,0,0,0,64000,12800,6400,44800,10,3,1999,0,,46.94525742872023,500
276,46,0,500,1448.84,0,0,5,6,3,0,0,-50000,1,1,3,3,4,2,7,1,0,0,1,0,5940,660,660,4620,12,18,2015,0,,4.0970038073166695,250
47,37,1,2000,1241.97,0,1,2,7,12,1,75400,0,1,1,1,4,1,2,18,1,0,1,0,0,6700,670,670,5360,7,36,2011,0,,5.390315132304078,250
222,42,0,500,1124.6,0,1,0,1,10,1,0,0,0,1,1,3,1,0,23,3,1,0,0,0,51740,11940,7960,31840,7,36,2006,0,,45.96659559346127,250
119,28,2,2000,1079.92,0,1,2,6,10,0,88800,0,2,1,2,0,3,5,1,1,0,0,1,1,53600,6700,6700,40200,13,20,2007,1,,49.58738852088961,250
73,29,0,1000,1447.78,0,1,1,10,2,5,35100,-59900,0,1,2,2,4,0,15,3,1,1,0,0,44910,4990,4990,34930,4,27,2001,0,,30.998495285688648,250
8,31,1,500,1229.16,4000000,0,4,13,11,5,0,-88300,0,0,0,1,3,2,2,3,0,0,2,1,48100,11100,7400,29600,13,20,2014,0,,39.10060479937569,250
294,44,0,1000,1226.49,0,0,6,4,11,4,53900,0,3,1,3,4,6,5,3,1,0,0,1,0,6100,610,1220,4270,5,16,2002,0,,4.969490586481356,100
324,46,1,2000,897.89,6000000,1,4,12,2,5,0,-41300,2,1,1,2,3,2,13,1,0,1,0,1,79600,15920,15920,47760,7,36,2011,0,,88.55366062588304,100
155,34,1,500,1706.79,0,1,5,10,7,2,0,0,2,0,1,0,2,2,1,1,0,1,1,1,77040,8560,8560,59920,6,10,1998,0,,45.11093284303105,100
261,45,0,1000,1254.18,0,0,6,9,11,2,0,-45100,2,1,1,1,4,1,16,1,1,0,1,0,62590,11380,11380,39830,13,20,2003,0,,49.86535795662773,250
245,40,1,500,885.08,0,0,5,1,16,2,27000,-58900,2,0,2,2,6,3,0,1,1,0,1,0,85150,13100,13100,58950,3,25,1998,0,,96.09741784037558,500
235,39,0,500,1046.58,4000000,1,4,12,8,5,0,-31700,3,1,3,4,1,2,1,1,0,2,1,0,4950,450,900,3600,3,32,2010,0,,4.725176120200844,100
53,36,2,2000,1712.68,0,1,0,5,1,1,72200,0,0,2,0,1,5,5,17,3,0,2,0,1,51100,10220,5110,35770,1,4,2006,0,,29.818869333831287,500
426,54,0,2000,1097.71,0,0,5,0,15,1,29600,-22300,2,2,1,3,4,6,13,1,1,2,3,0,100800,16800,16800,67200,4,27,1997,0,,91.74395427364819,500
111,27,1,500,1363.77,4000000,0,5,12,8,0,51100,0,2,2,2,3,5,6,12,1,1,2,3,0,90970,16540,16540,57890,0,31,2009,0,,66.65592004513582,250
86,26,2,500,1382.88,7000000,1,3,12,6,2,0,-30300,2,1,1,3,4,3,11,1,0,1,1,1,81840,14880,7440,59520,3,25,2011,1,,59.13807555568401,100
296,46,2,1000,1141.35,7000000,1,5,2,17,1,0,0,2,0,0,0,1,3,18,1,0,0,2,0,54900,5490,5490,43920,8,7,2013,0,,48.05882610408369,100
125,35,2,500,1054.83,7000000,1,3,12,6,0,0,-51300,2,0,2,1,1,3,17,1,1,2,3,0,88660,8060,16120,64480,8,7,2007,1,,83.97185152912874,500
177,34,0,2000,1057.77,0,0,3,12,3,4,0,-57700,0,0,2,0,0,5,22,3,0,1,1,0,18000,2250,2250,13500,1,4,2009,0,,17.00085948789633,100
238,39,1,2000,1488.02,0,0,3,10,8,2,0,-39200,3,1,1,3,1,4,9,1,1,1,3,1,5500,1100,550,3850,3,34,2010,0,,3.6937045842231804,250
81,25,1,500,920.3,5000000,0,2,12,10,3,51000,-67900,0,1,0,2,6,2,11,3,0,1,0,0,73920,13440,6720,53760,6,10,2003,1,,80.23445131878867,100
128,28,2,1000,986.53,0,0,2,0,14,2,62700,0,2,1,2,0,5,1,11,1,0,0,2,1,101860,18520,18520,64820,6,8,2007,0,,103.14623353214586,500
449,57,2,2000,1440.68,0,1,0,12,12,3,25000,0,1,1,1,4,4,5,8,1,1,0,1,1,5390,980,980,3430,13,28,2008,0,,3.7386937461850063,250
252,39,1,1000,1086.21,0,1,3,4,10,4,68500,-57500,2,2,1,3,4,6,18,1,0,1,2,0,50490,5610,5610,39270,9,26,2001,0,,46.4399701989496,250
359,47,2,2000,1367.68,0,0,4,5,1,4,0,0,2,0,2,3,4,0,13,1,0,0,3,0,55500,5550,11100,38850,8,7,2012,0,,40.55001899640529,100
19,32,2,1000,1215.85,0,1,2,7,10,0,42900,-90200,3,1,1,3,5,2,8,1,1,1,1,1,7040,1280,640,5120,9,26,2015,0,,5.785429592801085,500
73,26,0,2000,1191.19,4000000,1,4,4,1,1,29300,0,0,1,2,2,5,4,9,3,0,0,1,1,40160,5020,0,35140,3,34,2003,0,,33.68590577005343,250
285,44,0,1000,1594.45,0,1,2,5,3,0,0,0,0,2,2,1,0,1,17,2,1,2,3,0,55680,6960,6960,41760,10,3,2006,0,,34.89924472719295,500
196,36,1,2000,1463.07,0,1,4,1,16,3,0,0,3,1,3,3,6,6,3,1,0,1,1,0,5300,530,530,4240,7,17,2001,1,,3.6200454896282284,250
223,43,2,500,1734.09,0,0,4,0,4,1,0,0,1,1,3,4,6,0,6,1,1,0,3,0,5200,650,650,3900,0,23,2006,0,,2.996962693577855,250
328,48,0,500,1411.43,0,1,5,1,3,3,45100,-32800,2,0,0,0,1,5,17,1,1,2,1,0,59400,5940,11880,41580,6,10,2014,0,,42.05518149572014,250
285,43,2,2000,1512.58,0,0,1,11,13,2,47600,0,3,1,1,3,4,0,7,1,0,1,1,0,2520,280,280,1960,2,0,1997,0,,1.664926862141413,100
30,31,0,2000,1153.35,0,1,6,2,9,1,0,0,3,1,3,3,1,2,9,1,0,2,1,1,5760,960,960,3840,11,19,2011,0,,4.989821111448001,250
342,49,2,500,1722.95,0,1,6,13,0,1,63100,-13800,2,1,1,1,6,2,3,1,0,2,0,1,76700,7670,7670,61360,11,21,2006,0,,44.49084950259578,250
219,39,1,2000,1281.07,7000000,0,2,10,2,4,0,0,1,1,3,3,1,6,6,1,0,0,2,0,5920,740,740,4440,3,25,2015,0,,4.617532584024273,250
468,62,0,500,1011.92,0,1,6,6,13,5,0,0,0,1,0,1,4,5,7,3,1,0,3,0,64350,7150,7150,50050,3,34,2009,0,,63.52920270110177,100
241,39,0,2000,1042.26,0,1,3,11,11,0,0,0,0,1,2,0,6,3,21,3,0,1,2,0,19080,4240,2120,12720,10,2,1995,0,,18.288825412648812,250
223,43,2,500,1235.1,0,0,5,12,8,1,66400,-34400,2,1,1,3,4,6,14,1,0,2,1,0,54400,5440,5440,43520,2,22,2011,0,,44.00938435401667,500
128,32,2,2000,768.91,0,0,1,11,5,2,0,-39300,2,1,2,1,4,1,0,1,0,1,0,0,59800,5980,5980,47840,5,14,1999,1,,77.67141613954878,100
124,29,2,500,1301.72,0,1,5,5,9,0,0,0,0,2,0,3,5,6,14,3,0,0,3,1,72000,7200,7200,57600,1,4,2005,0,,55.2689756816507,500
343,48,1,500,1451.54,3000000,1,3,0,10,0,0,0,0,2,2,3,4,5,13,4,0,2,3,0,65070,7230,14460,43380,8,7,2003,0,,44.79738940063613,250
404,53,1,500,767.14,0,1,0,11,15,1,25500,-36700,1,1,3,3,6,1,8,1,0,0,1,0,8800,1760,880,6160,11,21,2002,0,,11.456244955346682,250
63,24,2,2000,1620.89,0,0,2,5,12,2,0,0,3,1,1,3,0,2,7,1,0,2,0,0,6120,1020,1020,4080,12,11,2015,0,,3.7733755063536982,250
210,37,1,2000,1048.46,0,1,2,8,16,1,59900,0,3,1,3,4,2,1,9,1,0,1,2,0,7080,1180,590,5310,4,30,1999,0,,6.746326682293751,500
335,50,2,1000,1538.26,6000000,1,2,11,19,2,62200,-31400,0,2,1,0,1,5,12,3,1,2,3,1,34320,8580,4290,21450,13,28,2009,0,,22.296428153788185,100
11,40,2,2000,1217.69,0,0,4,9,15,5,24000,0,0,2,0,2,4,6,6,3,0,1,0,0,53460,9720,9720,34020,4,27,2004,1,,43.86677497969131,500
142,33,1,2000,1362.64,5000000,0,3,3,6,5,0,0,2,2,2,2,0,1,11,1,1,1,3,0,81360,6780,13560,61020,11,21,2009,1,,59.66384089642427,100
272,43,2,1000,1279.13,0,1,6,2,3,2,0,0,0,2,1,0,0,6,5,3,0,1,2,1,81070,7370,14740,58960,1,4,2006,1,,63.32950559708779,100
69,26,0,2000,924.72,0,0,2,6,0,4,0,0,2,0,1,1,1,1,14,1,0,2,2,0,63120,5260,10520,47340,1,5,2008,0,,68.18476429157845,100
38,28,2,1000,1019.44,0,1,5,13,19,1,0,-39700,3,1,3,4,0,6,17,1,0,2,1,0,7200,1440,720,5040,2,37,2004,0,,7.055779859668378,250
328,46,0,500,1314.6,0,0,4,9,8,1,24800,0,2,1,2,2,6,2,0,1,0,2,3,0,70290,12780,6390,51120,10,1,1998,1,,53.42809364548496,500
281,43,2,1000,1515.18,6000000,1,1,8,4,2,0,0,0,2,1,1,4,4,21,3,0,1,0,0,60190,9260,9260,41670,2,38,1999,0,,39.698452690313815,100
246,44,2,2000,1649.18,0,1,1,4,0,2,0,-58600,2,0,0,2,1,2,18,1,1,1,2,1,61380,11160,5580,44640,6,10,2009,1,,37.19594226084427,250
298,49,2,500,1451.01,0,0,1,7,8,3,47800,0,2,0,1,0,1,6,17,1,0,2,2,0,28100,2810,5620,19670,7,17,2012,0,,19.352483798320947,250
330,50,0,1000,978.46,0,0,2,11,19,0,0,0,2,2,2,1,1,2,19,1,1,0,0,0,49060,8920,8920,31220,3,32,1995,0,,50.088824454291135,500
362,50,0,500,1198.34,4000000,1,0,11,2,5,53000,-72500,0,2,2,1,1,1,17,3,0,1,1,0,57060,6340,6340,44380,8,12,1995,0,,47.576166891790486,250
241,38,1,2000,1003.23,0,0,0,12,11,1,0,0,0,2,0,1,5,0,23,3,0,0,3,1,77880,12980,12980,51920,0,23,2008,0,,77.55195522937973,100
245,41,1,2000,1212.0,0,1,5,3,1,4,24400,-60500,2,0,2,0,1,6,4,1,1,0,1,1,73500,7350,14700,51450,7,36,1999,0,,60.593569661995055,500
371,52,0,1000,1242.96,7000000,0,2,7,13,3,0,-37100,0,1,1,2,1,5,2,2,1,2,0,0,88920,6840,13680,68400,0,31,2010,0,,71.48139811569504,250
343,52,0,1000,1053.02,0,0,0,9,3,1,0,0,2,0,0,2,1,0,2,1,0,0,2,0,47630,12990,4330,30310,12,11,2005,1,,45.18889584637863,500
377,53,0,500,1693.63,0,0,4,2,11,4,0,-64000,0,0,2,1,6,2,10,3,1,1,3,0,59040,6560,6560,45920,10,2,2015,0,,34.839463481703966,100
154,37,0,1000,2047.59,0,0,4,4,7,2,0,-67800,2,1,1,2,4,1,2,1,0,0,3,0,79530,14460,7230,57840,0,23,2000,0,,38.821823790997705,250
166,34,2,1000,1083.72,0,0,2,6,0,5,65600,-68200,2,2,2,2,1,1,18,1,0,0,2,1,53680,4880,4880,43920,6,8,2005,0,,49.4874253263515,100
298,46,2,1000,1138.42,6000000,1,3,9,7,3,36900,-55000,2,2,1,3,4,0,18,1,0,2,3,1,33550,3050,6100,24400,13,28,2005,0,,29.444805251794772,500
235,42,1,500,1072.62,0,0,5,6,8,0,39900,-60200,0,2,2,2,6,6,7,4,0,2,1,1,69100,6910,6910,55280,12,18,2006,0,,64.36169221884839,250
172,35,0,2000,1219.04,0,1,4,5,13,3,63600,-68700,0,1,0,3,2,2,19,3,0,2,0,0,79750,14500,14500,50750,9,29,1999,0,,65.36670928822006,100
27,28,1,2000,1371.78,0,1,3,4,14,2,0,-32500,0,0,0,2,3,5,10,3,0,0,2,1,53600,5360,10720,37520,1,5,2015,1,,39.04485787963112,100
428,54,1,2000,1506.21,0,1,5,13,11,4,0,-24400,0,2,1,1,1,5,16,3,0,1,0,0,76560,12760,6380,57420,9,35,2009,0,,50.795841322708846,100
99,32,1,1000,1058.21,3000000,1,3,2,9,4,0,0,2,0,2,1,1,0,17,1,1,1,1,0,41130,4570,4570,31990,4,30,1999,0,,38.830826748236895,100
107,26,0,2000,932.14,0,1,4,11,6,3,40600,0,0,1,2,1,4,1,2,3,0,2,3,0,78650,14300,7150,57200,1,4,1996,1,,84.28531624407913,500
272,41,2,2000,1608.34,0,0,0,4,15,3,33300,-10600,2,2,0,2,1,6,19,1,0,1,1,0,71060,6460,12920,51680,10,1,2010,0,,44.15474666633527,500
151,37,1,1000,1728.56,0,0,5,4,7,3,54000,0,2,0,1,1,6,4,0,1,1,1,1,0,38830,3530,3530,31770,11,21,1999,0,,22.450796734429566,500
249,43,0,1000,1518.46,0,0,4,1,6,3,0,0,2,0,0,1,4,5,16,1,0,0,0,1,53500,5350,5350,42800,10,1,2015,0,,35.20987719321338,250
177,38,0,2000,1540.19,0,0,1,0,16,2,0,-74500,2,0,0,2,5,1,20,1,1,2,0,0,73700,7370,7370,58960,3,32,2001,1,,47.820190891454004,100
190,40,2,2000,965.21,0,0,3,3,4,2,36900,-53700,1,1,3,4,4,2,10,1,0,2,1,1,6300,630,630,5040,9,35,2001,0,,6.520321669202347,500
174,36,0,2000,1278.75,0,0,1,12,13,3,53200,-53800,0,1,2,0,1,5,21,3,0,2,2,0,65400,10900,10900,43600,4,30,2012,0,,51.10373119749951,100
95,28,2,1000,773.99,0,1,0,1,2,2,0,-70300,3,1,3,4,3,6,3,1,1,1,2,0,3200,640,320,2240,8,12,2014,0,,4.129085536587569,250
371,51,1,1000,1532.47,0,0,0,12,9,2,60300,-24700,2,1,0,1,1,0,7,1,1,0,3,1,75400,7540,15080,52780,4,30,2012,1,,49.16953054184301,500
2,28,0,1000,1340.56,0,0,3,6,9,1,0,0,2,2,1,1,1,3,19,1,1,0,2,1,58140,6460,6460,45220,10,1,2008,0,,43.33760696502579,250
269,44,2,500,1297.75,4000000,0,3,7,5,3,0,-41400,0,1,2,0,4,1,15,3,0,0,1,0,98670,15180,15180,68310,3,34,2010,1,,75.9730510105871,100
101,27,0,1000,433.33,0,1,5,6,9,2,25900,0,1,1,1,4,4,2,7,1,0,0,3,0,5900,1180,590,4130,8,12,2009,0,,13.584141090875603,250
94,30,1,2000,1025.54,0,0,2,1,13,2,0,-52600,2,1,0,1,0,0,19,1,0,1,3,1,64100,6410,6410,51280,3,25,2001,0,,62.442768913047715,250
117,28,2,500,1264.77,0,0,0,13,19,4,47500,-32500,0,1,2,1,4,6,13,2,1,0,1,0,55440,5040,10080,40320,11,15,2009,1,,43.799426436082385,250
111,27,2,500,1459.97,5000000,1,4,11,19,2,0,0,0,2,0,3,4,3,2,3,0,1,2,0,80850,7350,14700,58800,5,14,2011,1,,55.33994537875521,250
242,40,2,500,1238.65,0,0,2,13,3,0,0,-44600,3,1,3,3,6,6,5,1,1,1,1,0,7480,680,680,6120,10,3,1998,0,,6.0339611987254465,100
440,61,2,500,1050.76,0,1,6,13,12,5,41500,-70200,2,2,0,1,2,5,21,1,0,2,3,0,53640,5960,5960,41720,9,26,2004,1,,51.00022818894044,250
20,23,2,1000,1711.72,0,0,3,12,0,5,0,0,0,1,0,1,4,4,21,3,0,2,2,0,63250,5750,11500,46000,3,34,2002,1,,36.92956233359802,500
461,57,0,500,865.33,7000000,0,2,4,9,3,0,0,0,2,0,0,1,2,7,3,0,0,1,0,59040,9840,9840,39360,4,30,1995,0,,68.14955040227164,100
208,36,0,500,1153.49,0,1,0,2,0,2,0,0,0,2,2,2,4,0,16,3,1,1,0,1,50500,10100,5050,35350,0,33,2004,0,,43.74225848643124,250
279,43,2,2000,1281.25,0,1,0,6,6,2,0,0,2,2,0,3,4,1,13,1,1,0,1,0,57690,6410,12820,38460,8,7,2010,1,,44.991226359914215,500
244,40,0,500,1342.8,0,0,4,11,0,0,0,0,3,1,3,3,1,6,2,1,1,1,3,1,5940,660,660,4620,12,9,2014,0,,4.420300639976187,100
134,30,2,2000,1443.32,0,0,6,3,7,4,0,0,0,1,0,1,4,3,19,3,0,0,2,1,47790,5310,5310,37170,11,19,1995,1,,33.088235294117645,250
122,29,2,1000,1629.94,0,0,5,8,16,2,0,-47100,1,1,3,4,4,5,17,1,0,0,1,0,3850,350,350,3150,4,27,2014,0,,2.360601861503182,250
156,31,0,2000,1134.08,0,1,6,7,15,0,0,0,2,0,0,3,0,0,3,1,0,2,0,0,59000,5900,5900,47200,5,16,2013,1,,51.978715156640945,100
232,43,2,500,1483.91,8000000,1,1,6,9,0,0,-33600,0,1,0,0,1,0,17,3,0,0,1,0,70600,7060,14120,49420,13,28,2013,1,,47.54496905536362,250
244,40,1,2000,1304.67,7000000,1,5,1,0,2,0,-45000,0,2,1,3,4,2,5,3,0,1,1,0,61490,5590,11180,44720,4,30,2001,0,,47.094595112088044,500
84,30,0,2000,1035.79,0,0,4,10,11,5,44400,-51500,2,2,1,3,4,3,9,1,0,1,0,1,57640,5240,10480,41920,13,28,2010,0,,55.594672016512504,500
394,57,0,500,1401.2,0,0,2,2,12,3,51500,0,3,1,3,3,0,2,9,1,0,1,0,0,6890,1060,1060,4770,1,5,1999,0,,4.91370703180716,250
246,45,0,1000,1665.45,0,1,3,6,10,5,34400,-33100,0,2,0,1,3,1,9,3,0,2,2,0,53280,11840,5920,35520,12,9,2006,1,,31.97215638032944,250
35,29,1,2000,653.66,0,0,3,5,18,4,52100,-46900,0,1,1,1,4,6,22,3,0,0,0,0,78300,15660,7830,54810,2,37,2009,0,,119.60406928787462,500
156,37,2,500,1080.13,0,1,0,10,15,2,0,-61000,0,1,0,0,3,6,15,3,1,0,3,0,41490,4610,4610,32270,9,29,2001,0,,38.37651346276581,100
195,36,1,2000,1346.18,0,0,0,6,4,5,57800,-53300,0,0,2,1,4,2,14,3,1,2,3,1,68970,12540,6270,50160,3,34,2007,0,,51.195831292032246,100
369,55,2,2000,1589.54,0,1,1,5,4,0,55400,0,0,1,1,3,5,0,6,3,0,2,0,1,85300,17060,8530,59710,12,18,2003,0,,53.62958492084449,250
271,40,0,1000,1251.65,0,0,0,7,4,5,71200,0,1,1,1,4,1,2,6,1,0,0,0,0,3080,560,280,2240,1,4,2012,0,,2.458787370773959,100
332,47,0,2000,1083.01,0,1,4,2,13,2,91900,0,0,0,0,3,6,0,22,4,1,2,0,0,71760,11040,11040,49680,7,17,2010,1,,66.19865130395476,100
107,26,2,500,974.59,0,0,3,1,16,5,62800,0,0,1,1,0,1,0,14,3,0,1,0,0,59700,11940,11940,35820,9,35,2002,0,,61.193739173218255,100
217,39,0,2000,1399.85,0,0,5,7,16,2,49900,-19800,0,0,1,1,1,1,16,3,0,0,2,0,64920,10820,10820,43280,5,16,1997,0,,46.343291572973556,500
243,43,1,500,1307.74,0,0,0,6,2,3,0,-75700,0,0,0,0,4,5,10,3,0,0,1,0,37530,4170,4170,29190,7,36,2008,0,,28.676436878218745,500
296,42,1,2000,1219.27,0,1,0,12,13,0,53100,-63400,0,2,2,0,6,1,9,3,1,1,2,0,64080,7120,7120,49840,10,2,2012,0,,52.51296844141051,250
264,41,2,500,1411.3,0,1,6,9,6,4,55600,0,2,1,1,2,3,4,4,1,0,1,0,0,60390,10980,5490,43920,2,22,2004,1,,42.76003681937266,100
108,33,0,2000,694.45,0,0,3,1,8,1,0,0,0,2,0,3,6,3,6,3,0,0,1,1,64350,5850,11700,46800,9,29,2011,1,,92.53001653605578,100
32,38,0,500,1006.77,6000000,0,1,7,17,3,0,0,0,2,1,3,4,3,15,3,1,2,1,1,70900,14180,7090,49630,2,38,1997,0,,70.35335443603203,100
259,39,2,1000,1422.36,0,0,3,2,12,4,0,-83900,0,2,1,1,3,1,12,3,0,1,3,0,46560,7760,7760,31040,9,35,2012,0,,32.7113309352518,250
186,33,1,1000,1348.32,0,0,0,2,6,5,37600,-37600,3,1,3,3,1,0,3,1,0,2,1,0,4730,860,860,3010,3,25,2013,1,,3.505469421634601,100
201,40,2,2000,1315.56,0,0,6,13,18,1,0,0,3,1,1,3,4,4,14,1,1,0,0,1,6820,1240,1240,4340,7,17,2003,0,,5.180166494500821,250
436,58,2,2000,1407.01,5000000,1,6,12,17,2,47400,-27600,2,1,0,3,6,5,10,1,0,0,2,0,59900,11980,5990,41930,2,37,1997,1,,42.54231148926499,250
189,36,2,2000,1388.58,0,0,4,8,1,3,0,-49400,0,2,0,3,6,5,17,3,0,1,3,1,79560,13260,13260,53040,5,13,2009,0,,57.254710056276,250
105,33,0,500,1310.76,0,0,2,0,11,1,0,-40900,2,0,2,2,5,4,8,1,1,0,1,0,70290,12780,6390,51120,0,23,2008,0,,53.58449716411539,500
163,31,1,1000,1004.63,6000000,1,3,8,10,1,26900,0,0,1,2,0,4,2,14,3,1,2,0,0,63910,5810,11620,46480,11,15,1999,0,,63.552201107763295,100
219,40,2,500,1134.91,0,0,0,13,9,1,68700,0,3,1,3,4,4,5,6,1,0,1,0,0,6400,640,640,5120,12,9,1997,0,,5.634249192277557,100
88,25,1,1000,1194.0,0,0,3,5,12,0,0,0,2,1,0,0,4,4,6,1,1,1,2,1,66780,7420,7420,51940,5,13,2013,1,,55.88284518828452,250
40,39,1,1000,1248.25,4000000,0,1,11,10,3,0,-33300,1,1,1,3,5,4,8,1,0,0,2,0,8760,1460,1460,5840,2,0,2013,0,,7.012207324394637,500
284,42,2,500,1338.54,-1000000,1,0,6,11,5,0,0,2,2,0,0,0,0,13,1,1,0,1,0,94160,8560,17120,68480,3,25,1996,0,,70.29278707616048,100
59,40,0,2000,782.23,0,1,1,10,9,2,64200,-32300,0,0,2,0,2,6,0,3,0,0,2,0,51570,5730,11460,34380,2,37,2010,0,,65.84272818967608,250
39,31,0,2000,1366.9,0,0,2,5,14,0,0,-15700,0,1,0,1,0,3,14,3,0,1,0,0,52700,10540,10540,31620,2,38,2014,1,,38.526208056144455,250
147,34,0,1000,1275.81,0,1,2,11,7,5,0,-48300,2,2,1,1,1,1,13,1,1,2,2,0,101010,15540,15540,69930,8,24,1998,0,,79.11122249982378,500
156,37,1,500,1090.65,0,1,2,3,9,4,0,-51800,0,1,1,3,0,1,16,4,0,1,2,1,53400,5340,5340,42720,6,10,2010,1,,48.916777355379466,250
123,31,1,500,1326.0,0,0,0,9,1,5,0,-54600,2,2,2,1,4,4,13,1,0,1,2,0,72120,12020,12020,48080,8,24,2009,0,,54.34815373021854,250
231,43,0,2000,972.47,0,1,1,10,15,5,0,-58100,0,0,1,3,3,2,15,3,1,2,2,1,77100,7710,15420,53970,1,4,2010,0,,79.20120804955468,250
247,39,0,500,806.31,0,0,1,5,7,5,0,0,1,1,3,3,4,3,3,1,0,2,3,0,3300,600,0,2700,4,30,2003,0,,4.087649106291264,100
194,35,0,500,1416.24,0,0,4,0,9,1,0,0,1,1,1,4,6,3,7,1,1,1,0,0,5940,1080,540,4320,9,29,2003,0,,4.191244954982925,500
119,27,1,2000,1097.64,0,1,2,13,18,2,27100,0,0,1,0,2,3,3,16,2,0,1,0,0,63720,7080,21240,35400,0,33,2006,0,,57.99898055778052,250
259,43,0,500,947.75,0,0,5,4,0,1,0,-39300,3,1,3,3,4,5,15,1,0,1,3,0,7680,1280,640,5760,1,5,2008,0,,8.09486166007905,100
107,31,0,2000,1018.73,5000000,1,0,5,19,3,20000,-82700,0,2,2,3,1,5,21,3,1,1,2,0,93730,14420,21630,57680,6,8,2001,0,,91.91648769772391,100
48,44,0,2000,1400.74,0,1,1,11,0,2,34000,-55600,0,1,0,3,0,0,23,3,1,0,2,0,87300,17460,17460,52380,7,36,2013,0,,62.27973803986474,100
267,40,0,500,1155.53,5000000,1,3,13,4,5,0,-35200,1,1,3,3,1,1,5,1,0,0,2,0,5670,1260,630,3780,5,14,1997,0,,4.902596560400508,250
286,47,1,500,1386.93,0,1,2,8,3,0,54100,-77600,0,1,1,2,1,6,15,3,1,0,0,0,65800,13160,6580,46060,0,33,2001,0,,47.40873098787402,250
175,34,2,500,915.29,0,0,3,5,0,5,82400,-57100,2,0,0,2,1,0,14,1,0,2,1,1,36720,4080,4080,28560,6,6,2009,1,,40.07464885571162,100
111,29,0,500,1239.55,2000000,0,6,4,11,3,0,0,2,2,0,1,4,5,1,1,0,1,1,1,52800,4800,9600,38400,8,24,1996,1,,42.561766958204025,250
151,37,1,500,1366.42,0,0,0,10,6,4,44000,0,0,1,2,1,4,0,14,3,0,1,2,1,59100,5910,5910,47280,9,26,1998,1,,43.22007868833277,250
156,37,2,1000,1086.48,6000000,1,0,6,10,4,0,-53800,0,1,2,2,1,4,17,3,0,1,1,1,77440,14080,7040,56320,11,21,1999,0,,71.210505020782,500
165,36,0,2000,1247.87,0,1,5,1,9,0,0,-39700,0,2,2,1,1,3,20,3,0,2,2,0,45700,4570,4570,36560,2,0,2008,0,,36.59308014445059,250
253,41,2,2000,1312.75,0,0,6,11,7,2,81300,0,0,1,0,2,4,6,10,3,0,2,2,1,80740,7340,14680,58720,12,9,2014,1,,61.45765937202664,100
